Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
47x1Gh7yk5mblUWxWRdtjH,"6MJKlN8ya42Agsw3iQZs6e","Hometown","Joshua","French 79",2019-11-08,202107,59,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:11:50Z,"french indie pop,french indietronica",0.566,0.713,5,-9.134,1,0.034,0.255,0.944,0.109,0.18,117.987,4
5eEcTCASHUs1ebdHvaCCiQ,"0JAs9eY7Z3QTTJbQ504loR","For Anyone Who'll Listen","Peloton","Peloton",2005-01-01,151893,0,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:12:01Z,"",0.385,0.72,7,-9.505,0,0.0274,0.113,0.956,0.277,0.44,127.852,4
5VE563l8Nbhj4AwRRRGyYg,"1GHCQmM3br5QVTKVJn85Ux","Modern Drummer","Cry-Baby","Ungdomskulen",2007-10-08,326360,20,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:12:12Z,"bergen indie",0.266,0.858,2,-5.157,1,0.0577,0.000402,0.656,0.293,0.37,134.464,4
5HTap7v6OqB7jPT5J2Z4um,"6fC2AcsQtd9h4BWELbbire","Figure 8","You and Your Friends","Peach Pit",2020-04-03,208653,52,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:12:19Z,"pov: indie,vancouver indie",0.508,0.624,8,-9.395,1,0.0403,0.000256,0.0000033,0.146,0.415,80.099,4
1ODJaD5kTvIXJtymjEa2Ap,"6APpRMrzLz079f5DK3lPLF","Seconds When It's Minutes","One Way, It's Every Way","Clue To Kalo",2005-09-20,217930,1,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:12:57Z,"indie electronica",0.345,0.847,1,-9.032,0,0.0363,0.0568,0.193,0.349,0.575,122.479,3
3vF0yZnO7cHJKNKzE3gN99,"19h4y2F9duQ776bv1YhQYt","For Props","Sundry Rock Song Stock","Yves Jarvis",2020-09-25,223761,33,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:13:11Z,"experimental pop,montreal indie",0.566,0.574,8,-10.725,0,0.0357,0.241,0.381,0.163,0.716,125.517,4
4znbCfP2yp1G8zzL9O8tKW,"3oIEbctIZz40aH60PJemFK","Hypnotic","Forever","Painted Palms",2014-01-14,208433,0,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:14:15Z,"shimmer pop,shimmer psych",0.636,0.966,9,-5.278,1,0.0512,0.189,0.502,0.866,0.557,116.976,4
1lhtOsCUtm0kND96OtDeNw,"4M5nCE77Qaxayuhp3fVn4V","Tree by the River","Kiss Each Other Clean","Iron & Wine",2011,236480,39,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:14:43Z,"acoustic pop,chamber pop,indie folk,indie rock,stomp and holler",0.576,0.526,10,-8.598,1,0.0275,0.447,0.000223,0.116,0.429,123.274,4
7b9dOWW3WJKS0wD19olc4Z,"7ITd48RbLVpUfheE7B86o2","The Bachelor and the Bride","Her Majesty The Decemberists","The Decemberists",2003-09-09,252986,1,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:14:49Z,"baroque pop,canadian indie,chamber pop,indie rock,modern folk rock,stomp and holler",0.385,0.717,5,-7.906,0,0.0364,0.0556,0.00000786,0.134,0.505,164.505,4
60j1W3Q4QanUCKlLDvc3ph,"1WgXqy2Dd70QQOU7Ay074N","I Went Too Far","All My Demons Greeting Me as a Friend (Deluxe)","AURORA",2014,207853,0,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:14:55Z,"art pop,norwegian pop",0.513,0.541,7,-8.02,0,0.0416,0.0543,0.0000286,0.0941,0.0735,115.997,4
34X9XeLp4NNtOQZXJIEfmx,"1xgFexIwrf2QjbU0buCNnp","Divine Hammer","Last Splash","The Breeders",1993-08-30,161360,50,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:15:02Z,"alternative rock,boston rock",0.344,0.561,3,-13.642,1,0.032,0.089,0.814,0.132,0.632,143.698,4
3SwpqOt4dVrp95cfHMGJgo,"5DCtsJfyBEzvZ9qN7jSA6j","Rainbow City","Zone","Cloud Control",2017-09-01,189619,17,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:15:08Z,"australian indie,australian indie folk,australian indie rock",0.477,0.767,2,-6.308,1,0.0363,0.00489,0.00484,0.323,0.344,176.096,4
6uU135qJOBNqG75Ns0oxgK,"0X3j5iteqa7amL7MDcGawb","X's In The Sky","We…are Doomed","The Irrational Library",2021-01-23,284259,1,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:15:31Z,"",0.606,0.664,2,-11.912,1,0.0782,0.292,0.691,0.139,0.216,119.802,4
788qkB441J60McUQgk0MSB,"1nEGjL7aMVdNQzsfQPKdGr","Off My Mind","Wake UP!","Hazel English",2020-04-24,218729,0,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:15:40Z,"chill dream pop,oakland indie",0.612,0.735,7,-6.494,1,0.0297,0.0113,0.00819,0.0947,0.834,117.02,4
7r0Wirvj3lK3jK0I8UtRoB,"3VAxb3UskTNiHAKh4UeOEv","If You Didn't See Me (Then You Weren't on the Dancefloor)","The Speed of Things","JR JR",2013-10-08,247173,37,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:17:10Z,"indie poptimism,shimmer pop,stomp and holler",0.614,0.651,11,-6.27,1,0.0322,0.192,0.000103,0.193,0.529,116.004,4
5eEsd3MHN7RWmhInNta8vj,"4EENT7N7rCBwrddM3s0vFS","Blink And You'll Miss A Revolution","Zonoscope","Cut Copy",2011-01-01,256653,30,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:17:26Z,"alternative dance,australian dance,australian electropop,electronic rock,electronica,indietronica,neo-synthpop",0.65,0.718,8,-5.681,1,0.0309,0.000123,0.0144,0.159,0.632,117.94,4
6Jq1ECQ8bKy8favqanidGT,"7hAolICGSgXJuM6DUpK5rp","Polymorphing","Moth","Chairlift",2016-01-22,283066,36,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:17:37Z,"brooklyn indie,indietronica,metropopolis,neo-synthpop",0.701,0.555,0,-7.842,1,0.0457,0.035,0,0.0809,0.676,91.38,4
3uAChTQwYHuTpoOvbvb6r5,"2JFTRDi5v7JtqoouVe1z5D","Channel 2","Moveys","Slow Pulp",2020-10-09,145607,45,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:17:43Z,"bubblegrunge,chicago indie,countrygaze,nu gaze",0.408,0.657,11,-6.155,0,0.0351,0.0117,0.226,0.252,0.743,79.892,4
6ugyqxHWS5zpfhGXp928Ef,"0AkmSuTOzM2pNCIOSP8ziv","Murder at the Bingo Hall","Born Against","Amigo the Devil",2021-04-16,201828,49,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:17:54Z,"country rap",0.776,0.641,4,-10.384,0,0.192,0.784,0.005,0.0967,0.596,92.59,4
7ud2JzdO2ozova6lBcCRmR,"5gcDZA9xXCOspWgQilUYIu","Is This How You Feel?","Blue Planet Eyes","The Preatures",2014-01-01,214093,43,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:19:44Z,"australian indie,australian indie rock",0.534,0.807,9,-7.696,1,0.129,0.00014,0.128,0.069,0.637,184.894,4
6irdJFegr5fHW2166JuWvg,"5gcDZA9xXCOspWgQilUYIu","Is This How You Feel? - Classixx Remix","Is This How You Feel? (Classixx Remix)","The Preatures",2013-01-01,216010,39,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:19:47Z,"australian indie,australian indie rock",0.695,0.52,6,-8.033,0,0.0384,0.00453,0.0101,0.0854,0.798,99.988,4
1DLDsDEPLbUf7SLGHzuyd0,"3MRQkjzrom6TDBqdxwWoSM","Idols","Rush","Black Gold",2009-01-20,245520,1,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:19:55Z,"",0.5,0.791,2,-5.55,1,0.0413,0.0563,0.00359,0.0827,0.672,149.912,4
5IGWNhUvt8pmhlUF5bGz2a,"5ZW7HlSuZz8ng2X21cXbdP","Plum","Plum","Widowspeak",2020-08-28,264954,46,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:20:01Z,"brooklyn indie,chillwave,countrygaze",0.644,0.756,7,-8.342,1,0.0273,0.567,0.158,0.151,0.802,120.03,4
1STZiT12ttRIZLVhyDdq48,"4M2H1fDQR5ygAi7MMOVxAA","Trash - Radio Edit","Trash","The Whip",2008-03-16,194840,35,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:20:09Z,"alternative dance,dance rock,dance-punk,electrofox,new rave",0.569,0.773,6,-6.864,0,0.0298,0.00000338,0.459,0.114,0.552,130.049,4
0a9RwdULGxsLRTeLCkJH5y,"6ECT62UWPniLG7KmWdwk37","We Like Songs","Tropical","Pompeya",2013-10-29,277080,11,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:20:17Z,"russian indie rock,russian synthpop",0.696,0.966,11,-3.663,0,0.0325,0.197,0.0629,0.138,0.908,140.011,4
07axdt17BvIXWMKqlUXkWA,"03hlOXqRyyXO3ectp3eEbU","Dear Saint Cecilia","Seek Shelter","Iceage",2021-05-07,290854,0,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:20:24Z,"crank wave,danish alternative rock,danish post-punk,noise pop,noise rock",0.202,0.851,2,-5.522,1,0.135,0.00101,0.00271,0.0933,0.329,78.824,4
7hUuYv8NT8feTPZMG4RS5R,"5ZW7HlSuZz8ng2X21cXbdP","Money","Plum","Widowspeak",2020-08-28,293068,40,spotify:user:31lxqnmqt66cz2c2fhyevi4lriqe,2022-06-08T01:20:30Z,"brooklyn indie,chillwave,countrygaze",0.643,0.585,8,-7.461,1,0.0242,0.0846,0.0189,0.0848,0.595,99.961,4
